,product_id,product_group,product_category,product_type,product,product_description,unit_of_measure,current_wholesale_price,current_retail_price,tax_exempt_yn,promo_yn,new_product_yn,current_retail_price_value,current_retail_price_value_2
10,11,Whole Bean/Teas,Loose Tea,Herbal tea,Lemon Grass,You will think you are Thailand as you sip your cuppa. ,.9 oz,7.16,$8.95 ,Y,N,N,8.95,8.95
11,12,Whole Bean/Teas,Loose Tea,Herbal tea,Peppermint,Cool and refreshing to help calm your nerves. ,.9 oz,7.16,$8.95 ,Y,N,N,8.95,8.95
12,13,Whole Bean/Teas,Loose Tea,Black tea,English Breakfast,The traditional cup to start your day.,.9 oz,7.16,$8.95 ,Y,N,N,8.95,8.95
13,14,Whole Bean/Teas,Loose Tea,Black tea,Earl Grey,A full leaf of Orange Pekoe blended with organic oil of bergamot.,.9 oz,7.16,$8.95 ,Y,N,N,8.95,8.95
14,15,Whole Bean/Teas,Loose Tea,Green tea,Serenity Green Tea,Mountain grown and harvested at the optimal time. ,1 oz,7.4,$9.25 ,Y,N,N,9.25,9.25
15,16,Whole Bean/Teas,Loose Tea,Chai tea,Traditional Blend Chai,A traditional blend.,.9 oz,7.16,$8.95 ,Y,N,N,8.95,8.95
16,17,Whole Bean/Teas,Loose Tea,Chai tea,Morning Sunrise Chai,Fair trade and organic and has a warm finish. ,.9 oz,7.6,$9.50 ,Y,N,N,9.5,9.5
17,18,Whole Bean/Teas,Loose Tea,Chai tea,Spicy Eye Opener Chai,A spicier blend to awaken your taste buds.,.9 oz,8.76,$10.95 ,Y,N,N,10.95,10.95
18,19,Whole Bean/Teas,Packaged Chocolate,Drinking Chocolate,Dark chocolate,This drinking chocolate is smooth and creamy.,1 lb,5.12,$6.40 ,Y,N,N,6.4,6.4
19,20,Whole Bean/Teas,Packaged Chocolate,Organic Chocolate,Sustainably Grown Organic,Certified organic containing the highest quality ingredients. ,1 lb,6.08,$7.60 ,Y,N,N,7.6,7.6
20,21,Whole Bean/Teas,Packaged Chocolate,Drinking Chocolate,Chili Mayan,"Fragrant with spices, this is the most flavourful drinking chocolate you will find.",1 lb,10.66,$13.33 ,Y,N,N,13.33,13.33
21,22,Beverages,Coffee,Drip coffee,Our Old Time Diner Blend Sm,An honest cup a coffee.,8 oz,0.4,$2.00 ,Y,N,N,2.0,2.0
22,23,Beverages,Coffee,Drip coffee,Our Old Time Diner Blend Rg,An honest cup a coffee.,16 oz,0.5,$2.50 ,Y,N,N,2.5,2.5
23,24,Beverages,Coffee,Drip coffee,Our Old Time Diner Blend Lg,An honest cup a coffee.,24 oz,0.6,$3.00 ,Y,N,N,3.0,3.0
24,25,Beverages,Coffee,Organic brewed coffee,Brazilian Sm,It's like Carnival in a cup. Clean and smooth.,8 oz,0.44,$2.20 ,Y,N,N,2.2,2.2
25,26,Beverages,Coffee,Organic brewed coffee,Brazilian Rg,It's like Carnival in a cup. Clean and smooth.,16 oz,0.6,$3.00 ,Y,N,N,3.0,3.0
26,27,Beverages,Coffee,Organic brewed coffee,Brazilian Lg,It's like Carnival in a cup. Clean and smooth.,24 oz,0.7,$3.50 ,Y,N,N,3.5,3.5
27,28,Beverages,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,A smooth cup of coffee any time of day. ,8 oz,0.4,$2.00 ,Y,N,N,2.0,2.0
28,29,Beverages,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,A smooth cup of coffee any time of day. ,16 oz,0.5,$2.50 ,Y,N,N,2.5,2.5
29,30,Beverages,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,A smooth cup of coffee any time of day. ,24 oz,0.6,$3.00 ,Y,N,N,3.0,3.0
30,31,Beverages,Coffee,Gourmet brewed coffee,Ethiopia Sm,A bold cup when you want that something extra.,8 oz,0.44,$2.20 ,Y,N,N,2.2,2.2
31,32,Beverages,Coffee,Gourmet brewed coffee,Ethiopia Rg,A bold cup when you want that something extra.,16 oz,0.6,$3.00 ,Y,N,N,3.0,3.0
32,33,Beverages,Coffee,Gourmet brewed coffee,Ethiopia Lg,A bold cup when you want that something extra.,24 oz,0.7,$3.50 ,Y,N,N,3.5,3.5
33,34,Beverages,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,Still a front runner for good premium coffee. ,8 oz,0.49,$2.45 ,Y,N,N,2.45,2.45
34,35,Beverages,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Still a front runner for good premium coffee. ,16 oz,0.62,$3.10 ,Y,N,N,3.1,3.1
35,36,Beverages,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Still a front runner for good premium coffee. ,24 oz,0.75,$3.75 ,Y,N,N,3.75,3.75
36,37,Beverages,Coffee,Barista Espresso,Espresso shot,You will think you are in Venice when you sip this one. ,1.5 oz,0.6,$3.00 ,Y,N,N,3.0,3.0
37,38,Beverages,Coffee,Barista Espresso,Latte,You will think you are in Venice when you sip this one. ,1.5 oz,0.75,$3.75 ,Y,N,N,3.75,3.75
38,39,Beverages,Coffee,Barista Espresso,Latte Rg,You will think you are in Venice when you sip this one. ,3.0 oz,0.85,$4.25 ,Y,N,N,4.25,4.25
39,40,Beverages,Coffee,Barista Espresso,Cappuccino,You will think you are in Venice when you sip this one. ,1.5 oz,0.75,$3.75 ,Y,N,N,3.75,3.75
40,41,Beverages,Coffee,Barista Espresso,Cappuccino Lg,You will think you are in Venice when you sip this one. ,3.0 oz,0.85,$4.25 ,Y,N,N,4.25,4.25
41,42,Beverages,Tea,Brewed herbal tea,Lemon Grass Rg,You will think you are in Thailand. ,16 oz,0.63,$2.50 ,Y,N,N,2.5,2.5
42,43,Beverages,Tea,Brewed herbal tea,Lemon Grass Lg,You will think you are in Thailand. ,24 oz,0.75,$3.00 ,Y,N,N,3.0,3.0
43,44,Beverages,Tea,Brewed herbal tea,Peppermint Rg,A cool and refreshing cup.,16 oz,0.63,$2.50 ,Y,N,N,2.5,2.5
44,45,Beverages,Tea,Brewed herbal tea,Peppermint Lg,A cool and refreshing cup.,24 oz,0.75,$3.00 ,Y,N,N,3.0,3.0
45,46,Beverages,Tea,Brewed Green tea,Serenity Green Tea Rg,Feel the stress leaving your body. ,16 oz,0.63,$2.50 ,Y,N,N,2.5,2.5
46,47,Beverages,Tea,Brewed Green tea,Serenity Green Tea Lg,Feel the stress leaving your body. ,24 oz,0.75,$3.00 ,Y,N,N,3.0,3.0
47,48,Beverages,Tea,Brewed Black tea,English Breakfast Rg,The Queen's favourite cuppa in the morning. ,16 oz,0.63,$2.50 ,Y,N,N,2.5,2.5
48,49,Beverages,Tea,Brewed Black tea,English Breakfast Lg,The Queen's favourite cuppa in the morning. ,24 oz,0.75,$3.00 ,Y,N,N,3.0,3.0
49,50,Beverages,Tea,Brewed Black tea,Earl Grey Rg,Tradition in a cup.,16 oz,0.63,$2.50 ,Y,N,N,2.5,2.5
50,51,Beverages,Tea,Brewed Black tea,Earl Grey Lg,Tradition in a cup.,24 oz,0.75,$3.00 ,Y,N,N,3.0,3.0
51,52,Beverages,Tea,Brewed Chai tea,Traditional Blend Chai Rg,Sit back and think of the tropical breezes.,16 oz,0.63,$2.50 ,Y,N,N,2.5,2.5
52,53,Beverages,Tea,Brewed Chai tea,Traditional Blend Chai Lg,Sit back and think of the tropical breezes.,24 oz,0.75,$3.00 ,Y,N,N,3.0,3.0
53,54,Beverages,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Face the morning after your yoga routine. ,16 oz,0.63,$2.50 ,Y,N,N,2.5,2.5
54,55,Beverages,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,Face the morning after your yoga routine. ,24 oz,1.0,$4.00 ,Y,N,N,4.0,4.0
55,56,Beverages,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,When you need your eyes opened wide.,16 oz,0.64,$2.55 ,Y,N,N,2.55,2.55
56,57,Beverages,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,When you need your eyes opened wide.,24 oz,0.78,$3.10 ,Y,N,N,3.1,3.1
57,58,Beverages,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,"Slightly bitter, but still very rich. ",12 oz,2.63,$3.50 ,Y,N,N,3.5,3.5
58,59,Beverages,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,"Slightly bitter, but still very rich. ",16 oz,3.38,$4.50 ,Y,N,N,4.5,4.5
59,60,Beverages,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Just pure notes of spice.,12 oz,2.81,$3.75 ,Y,N,N,3.75,3.75
60,61,Beverages,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Just pure notes of spice.,16 oz,3.56,$4.75 ,Y,N,N,4.75,4.75
61,62,Beverages,Drinking Chocolate,Hot chocolate,Snow Day Hot Chocolate,Added marshmallows for the needed sugar rush.,8 oz,2.25,$3.00 ,Y,N,N,3.0,3.0
62,63,Add-ons,Flavours,Regular syrup,Carmel syrup,Rich carmel taste,pump,0.04,$0.80 ,Y,N,N,0.8,0.8
63,64,Add-ons,Flavours,Regular syrup,Hazelnut syrup,Bursting with nutty flavour,pump,0.04,$0.80 ,Y,N,N,0.8,0.8
64,65,Add-ons,Flavours,Sugar free syrup,Sugar Free Vanilla syrup,Our favorite,pump,0.04,$0.80 ,Y,N,N,0.8,0.8
65,66,Beverages,Coffee,Seasonal drink,Pumpkin Spice Latte,"Boo, its that time of year again",1.5 oz,0.99,$4.95 ,Y,N,N,4.95,4.95
66,67,Beverages,Coffee,Seasonal drink,Pumpkin Spice Latte Lg,"Boo, its that time of year again",3.0 oz,1.19,$5.95 ,Y,Y,N,5.95,5.95
67,68,Beverages,Drinking Chocolate,Seasonal drink,Happy Holidays hot chocolate,"Candy cane and hot chocolate, perfect.",8 oz,2.81,$3.75 ,Y,Y,Y,3.75,3.75
68,75,Food,Bakery,Pastry,Croissant,Flakey and buttery,single,2.11,$3.25 ,N,N,N,3.25,3.25
69,70,Food,Bakery,Scone,Cranberry Scone,Like Grandma used to make,single,2.11,$3.25 ,N,N,N,3.25,3.25
70,71,Food,Bakery,Pastry,Chocolate Croissant,Chocolate flakes,single,2.44,$3.75 ,N,N,N,3.75,3.75
71,72,Food,Bakery,Scone,Ginger Scone,Little bit of spice,single,2.11,$3.25 ,N,N,N,3.25,3.25
72,73,Food,Bakery,Pastry,Almond Croissant,Crunch!,single,2.44,$3.75 ,N,N,N,3.75,3.75
73,74,Food,Bakery,Biscotti,Ginger Biscotti,Crunch!,single,2.28,$3.50 ,N,N,N,3.5,3.5
74,69,Food,Bakery,Biscotti,Hazelnut Biscotti,Crunch!,single,2.28,$3.50 ,N,N,N,3.5,3.5
75,76,Food,Bakery,Biscotti,Chocolate Chip Biscotti,Crunch!,single,2.28,$3.50 ,N,N,N,3.5,3.5
76,77,Food,Bakery,Scone,Oatmeal Scone,Grannys fav,single,1.95,$3.00 ,N,N,N,3.0,3.0
77,78,Food,Bakery,Scone,Scottish Cream Scone ,Old time comfort,single,2.93,$4.50 ,N,N,N,4.5,4.5
78,79,Food,Bakery,Scone,Jumbo Savory Scone,"Anytime, anywhere",single,2.44,$3.75 ,N,N,N,3.75,3.75
79,80,Merchandise,Branded,Clothing,I Need My Bean! Toque,keep your head bean warm,single,7.36,$23.00 ,N,N,N,23.0,23.0
80,81,Merchandise,Branded,Clothing,I Need My Bean! T-shirt,Stylish chic,single,8.96,$28.00 ,N,N,N,28.0,28.0
81,82,Merchandise,Branded,Housewares,I Need My Bean! Diner mug,Classic,single,3.84,$12.00 ,N,N,N,12.0,12.0
82,83,Merchandise,Branded,Housewares,I Need My Bean! Latte cup,The cup and saucer set is the perfect way to enjoy your latte at home,single,4.48,$14.00 ,N,N,N,14.0,14.0
83,84,Add-ons,Flavours,Regular syrup,Chocolate syrup,Bursting with chocolate flavour,pump,0.04,$0.80 ,Y,N,N,0.8,0.8
84,85,Beverages,Coffee,Specialty coffee,Rio Nights,2 shots of Ouro Brasilerio and pure cane sugar syrup,6 oz,1.2,$6.00 ,Y,N,Y,6.0,6.0
85,87,Beverages,Coffee,Barista Espresso,Ouro Brasileiro shot,From Rio,1.5 oz,0.6,$3.00 ,Y,N,N,3.0,3.0
86,88,Beverages,Coffee,Barista Espresso,Ouro Brasileiro shot promo,Ouro promo,16 oz,0.42,$2.10 ,Y,Y,N,2.1,2.1
87,89,Food,Bakery,Scone,Ginger Scone promo,Little bit of spice,single,1.72,$2.65 ,N,Y,N,2.65,2.65
